"";"x"
"325";370
"326";448
"327";235
"328";428
"329";251
"330";426
"331";443
"332";226
"333";456
"334";332
"335";285
"336";495
"337";323
"338";298
"339";340
"340";429
"341";427
"342";220
"343";340
"344";365
"345";425
"346";414
"347";261
"348";240
"349";334
"350";487
"351";225
"352";401
"353";254
"354";347
"355";267
"356";271
"357";220
"358";349
"359";233
"360";375
"361";279
"362";227
"363";207
"364";339
"365";430
"366";405
"367";266
"368";385
"369";280
"370";224
"371";401
"372";358
"373";342
"374";455
"375";443
"376";319
"377";331
"378";490
"379";369
"380";285
"381";442
"382";276
"383";444
"384";488
"385";449
"386";350
"387";341
"388";326
"389";402
"390";236
"391";329
"392";287
"393";376
"394";304
"395";348
"396";376
"397";500
"398";451
"399";368
"400";497
"401";409
"402";311
"403";372
"404";265
"405";239
"406";432
"407";225
"408";323
"409";418
"410";360
"411";205
"412";272
"413";473
"414";341
"415";202
"416";409
"417";228
"418";482
"419";425
"420";445
"421";401
"422";440
"423";324
"424";221
"425";257
"426";384
"427";351
"428";350
"429";384
"430";459
"431";232
"432";316
"433";458
"434";426
"435";282
"436";497
"437";476
"438";344
"439";452
"440";277
"441";240
"442";312
"443";372
"444";326
"445";216
"446";302
"447";207
"448";442
"449";206
"450";486
"451";267
"452";385
"453";358
"454";329
"455";346
"456";269
"457";493
"458";325
"459";379
"460";263
"461";315
"462";410
"463";332
"464";370
"465";315
"466";328
"467";494
"468";395
"469";447
"470";335
"471";485
"472";418
"473";337
"474";214
"475";421
"476";276
"477";491
"478";391
"479";369
"480";286
"481";292
"482";399
"483";272
"484";435
"485";317
"486";338
"487";493
"488";455
"489";410
"490";492
"491";222
"492";327
"493";394
"494";351
"495";281
"496";313
"497";224
"498";454
"499";451
"500";287
"501";477
"502";433
"503";452
"504";392
"505";437
"506";279
"507";372
"508";497
"509";500
"510";421
"511";379
"512";495
"513";482
"514";436
"515";317
"516";467
"517";215
"518";240
"519";375
"520";366
"521";214
"522";493
"523";387
"524";295
"525";369
"526";459
"527";401
"528";269
"529";247
"530";417
"531";279
"532";435
"533";308
"534";417
"535";388
"536";424
"537";389
"538";239
"539";341
"540";319
"541";415
"542";400
"543";415
"544";274
"545";275
"546";479
"547";223
"548";358
"549";467
"550";348
"551";220
"552";249
"553";367
"554";364
"555";309
"556";428
"557";487
"558";403
"559";230
"560";427
"561";252
"562";354
"563";468
"564";455
"565";486
"566";444
"567";220
"568";499
"569";329
"570";485
"571";451
"572";381
"573";242
"574";276
"575";232
"576";389
"577";384
"578";465
"579";412
"580";222
"581";341
"582";336
"583";295
"584";309
"585";262
"586";376
"587";286
"588";337
"589";283
"590";433
"591";237
"592";492
"593";463
"594";413
"595";220
"596";301
"597";450
"598";251
"599";206
"600";204
"601";239
"602";452
"603";254
"604";203
"605";288
"606";344
"607";213
"608";485
"609";350
"610";314
"611";258
"612";291
"613";465
"614";444
"615";471
"616";400
"617";287
"618";285
"619";382
"620";377
"621";498
"622";402
"623";347
"624";335
"625";439
"626";374
"627";306
"628";261
"629";425
"630";345
"631";352
"632";250
"633";392
"634";450
"635";382
"636";274
"637";355
"638";427
"639";350
"640";437
"641";411
"642";319
"643";479
"644";380
"645";476
"646";216
"647";232
"648";365
"649";260
"650";222
"651";292
"652";392
"653";235
"654";443
"655";315
"656";255
"657";279
"658";218
"659";200
"660";466
"661";495
"662";254
"663";233
"664";363
"665";448
"666";352
"667";430
"668";393
"669";234
"670";208
"671";283
"672";397
"673";424
"674";291
"675";339
"676";246
"677";348
"678";425
"679";227
"680";370
"681";333
"682";476
"683";388
"684";387
"685";415
"686";262
"687";332
"688";427
"689";333
"690";294
"691";307
"692";307
"693";280
"694";309
"695";253
"696";305
"697";268
"698";478
"699";294
"700";330
"701";413
"702";416
"703";321
"704";478
"705";429
"706";279
"707";336
"708";290
"709";372
"710";308
"711";343
"712";459
"713";336
"714";438
"715";298
"716";325
"717";343
"718";332
"719";327
"720";271
"721";470
"722";202
"723";242
"724";457
"725";369
"726";200
"727";497
"728";375
"729";244
"730";490
"731";250
"732";352
"733";320
"734";234
"735";414
"736";317
"737";273
"738";404
"739";200
"740";215
"741";443
"742";208
"743";310
"744";402
"745";391
"746";288
"747";380
"748";466
"749";377
"750";430
"751";335
"752";406
"753";278
"754";345
"755";234
"756";232
"757";359
"758";259
"759";279
"760";427
"761";249
"762";392
"763";461
"764";282
"765";467
"766";343
"767";443
"768";462
"769";366
"770";423
"771";362
"772";263
"773";215
"774";391
"775";248
"776";384
"777";392
"778";294
"779";270
"780";286
"781";489
"782";200
"783";247
"784";250
"785";349
"786";488
"787";343
"788";227
"789";307
"790";389
"791";448
"792";290
"793";261
"794";367
"795";237
"796";328
"797";367
"798";236
"799";412
"800";474
"801";449
"802";449
"803";335
"804";478
"805";240
"806";303
"807";236
"808";490
"809";418
"810";221
"811";315
"812";483
"813";219
"814";340
"815";371
"816";361
"817";475
"818";445
"819";267
"820";369
"821";491
"822";347
"823";228
"824";204
"825";324
"826";494
"827";387
"828";290
"829";308
"830";353
"831";414
"832";225
"833";500
"834";233
"835";397
"836";409
"837";440
"838";470
"839";229
"840";227
"841";498
"842";444
"843";394
"844";453
"845";285
"846";366
"847";251
"848";474
"849";338
"850";298
"851";378
"852";386
"853";362
"854";487
"855";262
"856";384
"857";390
"858";403
"859";494
"860";340
"861";307
"862";392
"863";316
"864";340
"865";230
"866";274
"867";305
"868";484
"869";286
"870";333
"871";300
"872";373
"873";481
"874";361
"875";381
"876";237
"877";253
"878";362
"879";223
"880";459
"881";366
"882";210
"883";421
"884";441
"885";480
"886";369
"887";295
"888";366
"889";421
"890";351
"891";421
"892";271
"893";254
"894";358
"895";227
"896";200
"897";327
"898";438
"899";263
"900";381
"901";310
"902";341
"903";410
"904";472
"905";337
"906";200
"907";224
"908";476
"909";425
"910";310
"911";484
"912";333
"913";266
"914";371
"915";304
"916";306
"917";457
"918";443
"919";435
"920";343
"921";450
"922";216
"923";437
"924";433
"925";474
"926";294
"927";480
"928";330
"929";247
"930";268
"931";486
"932";322
"933";291
"934";277
"935";437
"936";432
"937";391
"938";322
"939";354
"940";319
"941";347
"942";252
"943";399
"944";208
"945";380
"946";326
"947";218
"948";453
"949";500
"950";300
"951";337
"952";292
"953";277
"954";278
"955";427
"956";445
"957";203
"958";206
"959";236
"960";279
"961";400
"962";398
"963";242
"964";216
"965";485
"966";480
"967";482
"968";241
"969";372
"970";458
"971";450
"972";226
"973";306
"974";327
"975";491
"976";341
"977";219
"978";396
"979";238
"980";274
"981";265
"982";338
"983";222
"984";267
"985";248
"986";268
"987";388
"988";284
"989";228
"990";292
"991";238
"992";397
"993";367
"994";422
"995";236
"996";279
"997";347
"998";211
"999";296
"1000";427
"1001";371
"1002";473
"1003";466
"1004";417
"1005";434
"1006";255
"1007";338
"1008";365
"1009";371
"1010";312
"1011";342
"1012";357
"1013";368
"1014";452
"1015";241
"1016";244
"1017";464
"1018";288
"1019";346
"1020";359
"1021";410
"1022";406
"1023";427
"1024";306
"1025";355
"1026";279
"1027";366
"1028";442
"1029";471
"1030";225
"1031";351
"1032";203
"1033";467
"1034";290
"1035";317
"1036";264
"1037";296
"1038";245
"1039";393
"1040";412
"1041";439
"1042";318
"1043";331
"1044";495
"1045";238
"1046";407
"1047";420
"1048";446
"1049";210
"1050";220
"1051";357
"1052";328
"1053";259
"1054";487
"1055";201
"1056";213
"1057";452
"1058";412
"1059";482
"1060";379
"1061";486
"1062";299
"1063";287
"1064";488
"1065";380
"1066";385
"1067";424
"1068";291
"1069";347
"1070";484
"1071";238
"1072";389
"1073";452
"1074";276
"1075";465
"1076";391
"1077";323
"1078";402
"1079";283
"1080";410
"1081";460
"1082";295
"1083";464
"1084";231
"1085";220
"1086";213
"1087";215
"1088";296
"1089";305
"1090";230
"1091";462
"1092";363
"1093";439
"1094";220
"1095";255
"1096";249
"1097";201
"1098";483
"1099";481
"1100";239
"1101";248
"1102";397
"1103";386
"1104";400
"1105";248
"1106";466
"1107";275
"1108";373
"1109";237
"1110";388
"1111";225
"1112";340
"1113";246
"1114";414
"1115";252
"1116";350
"1117";278
"1118";220
"1119";289
"1120";203
"1121";206
"1122";293
"1123";288
"1124";420
"1125";408
"1126";345
"1127";333
"1128";489
"1129";432
"1130";391
"1131";338
"1132";242
"1133";415
"1134";333
"1135";417
"1136";237
"1137";215
"1138";287
"1139";215
"1140";497
"1141";309
"1142";269
"1143";434
"1144";337
"1145";291
"1146";306
"1147";268
"1148";200
"1149";246
"1150";207
"1151";383
"1152";245
"1153";309
"1154";207
"1155";461
"1156";479
"1157";407
"1158";275
"1159";463
"1160";221
"1161";317
"1162";348
"1163";405
"1164";277
"1165";379
"1166";417
"1167";400
"1168";324
"1169";442
"1170";272
"1171";212
"1172";272
"1173";457
"1174";428
"1175";269
"1176";263
"1177";301
"1178";352
"1179";376
"1180";314
"1181";200
"1182";341
"1183";487
"1184";316
"1185";485
"1186";336
"1187";379
"1188";259
"1189";349
"1190";443
"1191";249
"1192";226
"1193";369
"1194";433
"1195";431
"1196";390
"1197";324
"1198";449
"1199";349
"1200";454
"1201";455
"1202";393
"1203";457
"1204";378
"1205";493
"1206";383
"1207";295
"1208";202
"1209";244
"1210";496
"1211";312
"1212";282
"1213";449
"1214";234
"1215";448
"1216";316
"1217";355
"1218";320
"1219";405
"1220";308
"1221";456
"1222";491
"1223";330
"1224";226
"1225";337
"1226";446
"1227";359
"1228";494
"1229";355
"1230";303
"1231";432
"1232";430
"1233";218
"1234";289
"1235";349
"1236";408
"1237";437
"1238";268
"1239";385
"1240";326
"1241";403
"1242";455
"1243";235
"1244";247
"1245";361
"1246";388
"1247";254
"1248";449
"1249";455
"1250";369
"1251";235
"1252";420
"1253";292
"1254";439
"1255";330
"1256";405
"1257";275
"1258";270
"1259";201
"1260";256
"1261";496
"1262";403
"1263";332
"1264";268
"1265";431
"1266";228
"1267";422
"1268";344
"1269";286
"1270";261
"1271";304
"1272";361
"1273";265
"1274";496
"1275";392
"1276";421
"1277";441
"1278";331
"1279";362
"1280";281
"1281";461
"1282";463
"1283";281
"1284";239
"1285";415
"1286";494
"1287";367
"1288";270
"1289";322
"1290";303
"1291";277
"1292";466
"1293";238
"1294";375
"1295";316
"1296";260
"1297";357
"1298";341
"1299";406
"1300";201
"1301";457
"1302";342
"1303";348
"1304";326
"1305";242
"1306";217
"1307";459
"1308";391
"1309";220
"1310";460
"1311";374
"1312";427
"1313";271
"1314";497
"1315";404
"1316";228
"1317";312
"1318";325
"1319";448
"1320";448
"1321";349
"1322";389
"1323";247
"1324";320
"1325";352
"1326";406
"1327";352
"1328";481
"1329";375
"1330";240
"1331";256
"1332";471
"1333";453
"1334";359
"1335";214
"1336";347
"1337";314
"1338";219
"1339";328
"1340";213
"1341";280
"1342";251
"1343";260
"1344";258
"1345";337
"1346";389
"1347";368
"1348";368
"1349";336
"1350";430
"1351";408
"1352";212
"1353";218
"1354";478
"1355";262
"1356";262
"1357";396
"1358";454
"1359";404
"1360";320
"1361";209
"1362";403
"1363";256
"1364";449
"1365";409
"1366";444
"1367";377
"1368";432
"1369";431
"1370";317
"1371";284
"1372";244
"1373";375
"1374";424
"1375";313
"1376";331
"1377";345
"1378";320
"1379";237
"1380";498
"1381";370
"1382";385
"1383";355
"1384";470
"1385";240
"1386";439
"1387";416
"1388";336
"1389";407
"1390";265
"1391";254
"1392";308
"1393";277
"1394";241
"1395";441
"1396";335
"1397";331
"1398";371
"1399";407
"1400";292
"1401";217
"1402";391
"1403";422
"1404";260
"1405";382
"1406";395
"1407";364
"1408";244
"1409";250
"1410";350
"1411";340
"1412";200
"1413";237
"1414";282
"1415";344
"1416";350
"1417";469
"1418";421
"1419";213
"1420";317
"1421";244
"1422";405
"1423";378
"1424";269
"1425";217
"1426";400
"1427";268
"1428";280
"1429";440
"1430";342
"1431";387
"1432";205
"1433";435
"1434";360
"1435";438
"1436";212
"1437";383
"1438";216
"1439";359
"1440";347
"1441";293
"1442";447
"1443";357
"1444";406
"1445";309
"1446";298
"1447";410
"1448";242
"1449";493
"1450";246
"1451";443
"1452";379
"1453";292
"1454";424
"1455";385
"1456";342
"1457";418
"1458";365
"1459";436
"1460";481
"1461";216
"1462";447
"1463";365
"1464";283
"1465";458
"1466";495
"1467";255
"1468";236
"1469";336
"1470";239
"1471";398
"1472";455
"1473";496
"1474";348
"1475";498
"1476";493
"1477";209
"1478";437
"1479";225
"1480";386
"1481";333
"1482";412
"1483";353
"1484";208
"1485";255
"1486";479
"1487";230
"1488";272
"1489";373
"1490";477
"1491";409
"1492";252
"1493";235
"1494";362
"1495";489
"1496";319
"1497";481
"1498";332
"1499";262
"1500";434
"1501";390
"1502";276
"1503";236
"1504";430
"1505";463
"1506";371
"1507";332
"1508";440
"1509";310
"1510";217
"1511";453
"1512";388
"1513";244
"1514";313
"1515";348
"1516";486
"1517";449
"1518";466
"1519";395
"1520";376
"1521";427
"1522";476
"1523";408
"1524";369
"1525";488
"1526";400
"1527";279
"1528";302
"1529";297
"1530";350
"1531";474
"1532";343
"1533";336
"1534";415
"1535";222
"1536";373
"1537";392
"1538";210
"1539";371
"1540";302
"1541";265
"1542";284
"1543";273
"1544";451
"1545";244
"1546";357
"1547";476
"1548";338
"1549";233
"1550";458
"1551";402
"1552";500
"1553";298
"1554";231
"1555";368
"1556";211
"1557";425
"1558";442
"1559";352
"1560";449
"1561";420
"1562";338
"1563";254
"1564";423
"1565";298
"1566";342
"1567";472
"1568";464
"1569";351
"1570";251
"1571";435
"1572";490
"1573";380
"1574";289
"1575";204
"1576";274
"1577";313
"1578";320
"1579";267
"1580";254
"1581";379
"1582";476
"1583";307
"1584";381
"1585";351
"1586";363
"1587";285
"1588";374
"1589";313
"1590";459
"1591";216
"1592";218
"1593";324
"1594";249
"1595";491
"1596";371
"1597";407
"1598";466
"1599";460
"1600";239
"1601";303
"1602";375
"1603";205
"1604";452
"1605";434
"1606";325
"1607";361
"1608";322
"1609";475
"1610";406
"1611";407
"1612";324
"1613";254
"1614";232
"1615";440
"1616";282
"1617";216
"1618";248
"1619";234
"1620";305
"1621";208
"1622";332
"1623";351
"1624";357
"1625";343
"1626";327
"1627";439
"1628";445
"1629";380
"1630";315
"1631";331
"1632";221
"1633";257
"1634";219
"1635";307
"1636";450
"1637";214
"1638";204
"1639";229
"1640";215
"1641";238
"1642";480
"1643";420
"1644";300
"1645";364
"1646";205
"1647";336
"1648";253
"1649";255
"1650";270
"1651";242
"1652";500
"1653";434
"1654";247
"1655";286
"1656";341
"1657";407
"1658";445
"1659";332
"1660";251
"1661";220
"1662";430
"1663";431
"1664";230
"1665";399
"1666";395
"1667";477
"1668";487
"1669";457
"1670";359
"1671";285
"1672";298
"1673";428
"1674";423
"1675";475
"1676";228
"1677";329
"1678";266
"1679";488
"1680";474
"1681";403
"1682";352
"1683";219
"1684";414
"1685";220
"1686";319
"1687";214
"1688";492
"1689";211
"1690";460
"1691";414
"1692";449
"1693";473
"1694";452
"1695";486
"1696";260
"1697";382
"1698";259
"1699";417
"1700";305
"1701";315
"1702";364
"1703";246
"1704";266
"1705";429
"1706";249
"1707";404
"1708";365
"1709";292
"1710";490
"1711";320
"1712";477
"1713";266
"1714";253
"1715";388
"1716";330
"1717";497
"1718";298
"1719";490
"1720";408
"1721";283
"1722";264
"1723";369
"1724";293
"1725";231
"1726";264
"1727";307
"1728";366
"1729";406
"1730";377
"1731";242
"1732";323
"1733";459
"1734";269
"1735";367
"1736";283
"1737";398
"1738";280
"1739";310
"1740";417
"1741";423
"1742";372
"1743";257
"1744";297
"1745";213
"1746";362
"1747";471
"1748";430
"1749";485
"1750";346
"1751";336
"1752";289
"1753";445
"1754";357
"1755";272
"1756";399
"1757";454
"1758";490
"1759";492
"1760";297
"1761";246
"1762";308
"1763";235
"1764";362
"1765";267
"1766";364
"1767";314
"1768";385
"1769";370
"1770";425
"1771";235
"1772";436
"1773";228
"1774";446
"1775";438
"1776";220
"1777";380
"1778";240
"1779";372
"1780";246
"1781";278
"1782";460
"1783";451
"1784";440
"1785";500
"1786";300
"1787";365
"1788";298
"1789";379
"1790";497
"1791";266
"1792";452
"1793";227
"1794";318
"1795";239
"1796";324
"1797";266
"1798";365
"1799";357
"1800";491
"1801";491
"1802";345
"1803";461
"1804";331
"1805";262
"1806";302
"1807";233
"1808";419
"1809";236
"1810";344
"1811";325
"1812";295
"1813";472
"1814";251
"1815";232
"1816";446
"1817";464
"1818";265
"1819";378
"1820";333
"1821";282
"1822";434
"1823";468
"1824";381
"1825";333
"1826";207
"1827";221
"1828";367
"1829";384
"1830";442
"1831";210
"1832";334
"1833";304
"1834";258
"1835";451
"1836";442
"1837";255
"1838";246
"1839";253
"1840";445
"1841";441
"1842";225
"1843";220
"1844";414
"1845";308
"1846";262
"1847";294
"1848";208
"1849";484
"1850";499
"1851";378
"1852";377
"1853";485
"1854";436
"1855";374
"1856";289
"1857";215
"1858";230
"1859";489
"1860";493
"1861";469
"1862";403
"1863";261
"1864";255
"1865";251
"1866";490
"1867";417
"1868";430
"1869";441
"1870";245
"1871";380
"1872";387
"1873";298
"1874";236
"1875";247
"1876";327
"1877";413
"1878";306
"1879";317
"1880";471
"1881";359
"1882";404
"1883";353
"1884";412
"1885";413
"1886";429
"1887";224
"1888";468
"1889";214
"1890";280
"1891";365
"1892";321
"1893";317
"1894";293
"1895";457
"1896";346
"1897";262
"1898";354
"1899";441
"1900";459
"1901";219
"1902";358
"1903";436
"1904";222
"1905";380
"1906";489
"1907";452
"1908";462
"1909";329
"1910";256
"1911";227
"1912";209
"1913";245
"1914";337
"1915";228
"1916";229
"1917";354
"1918";490
"1919";266
"1920";397
"1921";392
"1922";204
"1923";256
"1924";459
"1925";465
"1926";440
"1927";272
"1928";429
"1929";330
"1930";245
"1931";339
"1932";331
"1933";418
"1934";416
"1935";425
"1936";343
"1937";417
"1938";335
"1939";262
"1940";225
"1941";229
"1942";341
"1943";499
"1944";425
"1945";229
"1946";435
"1947";415
"1948";360
"1949";349
"1950";412
"1951";301
"1952";218
"1953";443
"1954";215
"1955";491
"1956";252
"1957";217
"1958";436
"1959";212
"1960";269
"1961";438
"1962";440
"1963";467
"1964";445
"1965";231
"1966";472
"1967";411
"1968";477
"1969";273
"1970";377
"1971";407
"1972";264
"1973";404
"1974";354
"1975";428
"1976";481
"1977";297
"1978";471
"1979";442
"1980";271
"1981";343
"1982";312
"1983";461
"1984";380
"1985";321
"1986";315
"1987";474
"1988";266
"1989";268
"1990";292
"1991";433
"1992";455
"1993";423
"1994";407
"1995";383
"1996";298
"1997";493
"1998";357
"1999";224
"2000";388
"2001";298
"2002";295
"2003";392
"2004";400
"2005";385
"2006";259
"2007";259
"2008";262
"2009";436
"2010";319
"2011";241
"2012";367
"2013";292
"2014";326
"2015";466
"2016";234
"2017";230
"2018";451
"2019";369
"2020";357
"2021";324
"2022";333
"2023";337
"2024";230
"2025";294
"2026";411
"2027";368
"2028";345
"2029";279
"2030";430
"2031";358
"2032";214
"2033";339
"2034";240
"2035";210
"2036";253
"2037";496
"2038";466
"2039";423
"2040";374
"2041";404
"2042";256
"2043";408
"2044";411
"2045";499
"2046";263
"2047";476
"2048";307
"2049";322
"2050";471
"2051";250
"2052";313
"2053";220
"2054";461
"2055";263
"2056";429
"2057";227
"2058";258
"2059";481
"2060";360
"2061";272
"2062";230
"2063";388
"2064";460
"2065";342
"2066";326
"2067";388
"2068";212
"2069";262
"2070";353
"2071";367
"2072";295
"2073";491
"2074";333
"2075";445
"2076";404
"2077";428
"2078";412
"2079";385
"2080";263
"2081";422
"2082";356
"2083";479
"2084";370
"2085";379
"2086";311
"2087";433
"2088";299
"2089";254
"2090";293
"2091";227
"2092";240
"2093";329
"2094";301
"2095";311
"2096";215
"2097";375
"2098";439
"2099";355
"2100";485
"2101";394
"2102";415
"2103";477
"2104";261
"2105";289
"2106";312
"2107";368
"2108";485
"2109";371
"2110";371
"2111";210
"2112";318
"2113";267
"2114";283
"2115";348
"2116";444
"2117";346
"2118";233
"2119";384
"2120";314
"2121";437
"2122";370
"2123";243
"2124";380
"2125";497
"2126";275
"2127";344
"2128";473
"2129";297
"2130";380
"2131";478
"2132";389
"2133";419
"2134";465
"2135";481
"2136";209
"2137";469
"2138";312
"2139";493
"2140";372
"2141";367
"2142";467
"2143";371
"2144";217
"2145";480
"2146";318
"2147";290
"2148";475
"2149";495
"2150";217
"2151";304
"2152";376
"2153";227
"2154";387
"2155";324
"2156";471
"2157";409
"2158";396
"2159";483
"2160";433
"2161";483
"2162";270
"2163";448
"2164";430
"2165";278
"2166";365
"2167";470
"2168";418
"2169";495
"2170";277
"2171";276
"2172";333
"2173";303
"2174";314
"2175";486
"2176";274
"2177";476
"2178";255
"2179";391
"2180";439
"2181";386
"2182";249
"2183";274
"2184";222
"2185";270
"2186";276
"2187";350
"2188";469
"2189";263
"2190";380
"2191";241
"2192";407
"2193";470
"2194";225
"2195";467
"2196";256
"2197";304
"2198";201
"2199";212
"2200";493
"2201";231
"2202";464
"2203";204
"2204";318
"2205";219
"2206";496
"2207";496
"2208";352
"2209";466
"2210";258
"2211";303
"2212";334
"2213";267
"2214";272
"2215";412
"2216";420
"2217";461
"2218";395
"2219";371
"2220";446
"2221";498
"2222";286
"2223";243
"2224";326
"2225";285
"2226";394
"2227";360
"2228";282
"2229";285
"2230";287
"2231";286
"2232";488
"2233";368
"2234";318
"2235";273
"2236";367
"2237";491
"2238";291
"2239";317
"2240";218
"2241";331
"2242";389
"2243";240
"2244";260
"2245";263
"2246";239
"2247";293
"2248";382
"2249";210
"2250";341
"2251";203
"2252";489
"2253";314
"2254";306
"2255";314
"2256";366
"2257";237
"2258";484
"2259";202
"2260";206
"2261";375
"2262";318
"2263";348
"2264";243
"2265";224
"2266";433
"2267";418
"2268";267
"2269";440
"2270";337
"2271";342
"2272";393
"2273";208
"2274";456
"2275";388
"2276";245
"2277";447
"2278";426
"2279";370
"2280";322
"2281";253
"2282";328
"2283";247
"2284";407
"2285";375
"2286";235
"2287";444
"2288";329
"2289";278
"2290";434
"2291";236
"2292";450
"2293";377
"2294";339
"2295";383
"2296";404
"2297";213
"2298";400
"2299";305
"2300";432
"2301";208
"2302";233
"2303";415
"2304";342
"2305";451
"2306";319
"2307";459
"2308";349
"2309";450
"2310";395
"2311";251
"2312";450
"2313";498
"2314";251
"2315";275
"2316";270
"2317";310
"2318";347
"2319";290
"2320";286
"2321";383
"2322";237
"2323";384
"2324";479
"2325";353
"2326";388
"2327";252
"2328";416
"2329";360
"2330";224
"2331";378
"2332";231
"2333";250
"2334";332
"2335";278
"2336";407
"2337";492
"2338";377
"2339";345
"2340";243
"2341";258
"2342";271
"2343";479
"2344";291
"2345";251
"2346";398
"2347";355
"2348";483
"2349";206
"2350";282
"2351";412
"2352";285
"2353";243
"2354";405
"2355";496
"2356";272
"2357";373
"2358";281
"2359";305
"2360";484
"2361";310
"2362";287
"2363";376
"2364";491
"2365";461
"2366";364
"2367";239
"2368";283
"2369";384
"2370";328
"2371";210
"2372";249
"2373";215
"2374";378
"2375";283
"2376";457
"2377";265
"2378";324
"2379";345
"2380";202
"2381";441
"2382";487
"2383";472
"2384";390
"2385";209
"2386";499
"2387";349
"2388";463
"2389";217
"2390";392
"2391";401
"2392";480
"2393";287
"2394";262
"2395";252
"2396";490
"2397";381
"2398";400
"2399";352
"2400";453
"2401";308
"2402";222
"2403";283
"2404";489
"2405";387
"2406";210
"2407";205
"2408";240
"2409";280
"2410";345
"2411";295
"2412";361
"2413";343
"2414";416
"2415";411
"2416";492
"2417";440
"2418";345
"2419";228
"2420";473
"2421";419
"2422";305
"2423";376
"2424";398
"2425";497
"2426";386
"2427";234
"2428";312
"2429";221
"2430";291
"2431";385
"2432";223
"2433";392
"2434";289
"2435";342
"2436";437
"2437";434
"2438";458
"2439";361
"2440";291
"2441";253
"2442";265
"2443";237
"2444";430
"2445";471
"2446";257
"2447";213
"2448";393
"2449";434
"2450";272
"2451";387
"2452";424
"2453";427
"2454";201
"2455";308
"2456";208
"2457";361
"2458";433
"2459";280
"2460";378
"2461";479
"2462";278
"2463";497
"2464";400
"2465";214
"2466";394
"2467";435
"2468";383
"2469";270
"2470";429
"2471";357
"2472";456
"2473";325
"2474";400
"2475";387
"2476";330
"2477";210
"2478";356
"2479";340
"2480";231
"2481";489
"2482";323
"2483";412
"2484";232
"2485";293
"2486";379
"2487";417
"2488";366
"2489";346
"2490";310
"2491";440
"2492";462
"2493";355
"2494";450
"2495";286
"2496";316
"2497";212
